Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
80065907,1200,10536,07/09/2018 10:32,158,"Trebovir Road, Earl's Court",07/09/2018 10:12,708,"Disraeli Road, Putney",,
80167610,1080,4447,10/09/2018 13:30,605,"Seymour Place, Marylebone",10/09/2018 13:12,22,"Northington Street , Holborn",,
80132540,1080,1229,09/09/2018 14:14,433,"Wren Street, Holborn",09/09/2018 13:56,275,"Barbican Centre, Barbican",,
80131602,300,9968,09/09/2018 13:40,702,"Durant Street, Bethnal Green",09/09/2018 13:35,322,"Palissy Street, Shoreditch",,
80051526,720,14587,06/09/2018 20:07,719,"Victoria Park Road, Hackney Central",06/09/2018 19:55,40,"Commercial Street, Shoreditch",,
80094452,240,6316,08/09/2018 09:43,39,"Shoreditch High Street, Shoreditch",08/09/2018 09:39,702,"Durant Street, Bethnal Green",,
79987989,1020,4145,05/09/2018 08:40,57,"Guilford Street , Bloomsbury",05/09/2018 08:23,45,"Boston Place, Marylebone",,
80040324,540,13402,06/09/2018 16:18,264,"Tysoe Street, Clerkenwell",06/09/2018 16:09,77,"Russell Square Station, Bloomsbury",,
80002968,1020,11829,05/09/2018 16:49,553,"Regent's Row , Haggerston ",05/09/2018 16:32,95,"Aldersgate Street, Barbican",,
80204751,240,12393,11/09/2018 12:20,39,"Shoreditch High Street, Shoreditch",11/09/2018 12:16,702,"Durant Street, Bethnal Green",,
80127978,300,8372,09/09/2018 12:13,40,"Commercial Street, Shoreditch",09/09/2018 12:08,702,"Durant Street, Bethnal Green",,
80085386,780,11000,07/09/2018 19:13,717,"Dunston Road , Haggerston",07/09/2018 19:00,427,"Cheapside, Bank",,
80188835,840,8824,10/09/2018 22:10,433,"Wren Street, Holborn",10/09/2018 21:56,234,"Liverpool Road (N1 Centre), Angel",,
80018523,360,5185,05/09/2018 23:08,321,"Bermondsey Street, Bermondsey",05/09/2018 23:02,295,"Swan Street, The Borough",,
80068399,600,5064,07/09/2018 12:13,95,"Aldersgate Street, Barbican",07/09/2018 12:03,11,"Brunswick Square, Bloomsbury",,
80036713,420,4400,06/09/2018 14:07,73,"Old Street Station, St. Luke's",06/09/2018 14:00,236,"Fashion Street, Whitechapel",,
80088560,240,10599,07/09/2018 20:53,676,"Hartington Road, Stockwell",07/09/2018 20:49,772,"Binfield Road, Stockwell",,
80133494,900,14662,09/09/2018 14:30,446,"York Hall, Bethnal Green",09/09/2018 14:15,722,"Finnis Street, Bethnal Green",,
80019620,60,11354,06/09/2018 05:37,715,"Aylward Street, Stepney",06/09/2018 05:36,464,"St. Mary & St. Michael Church, Stepney",,
80055419,120,7367,07/09/2018 05:29,715,"Aylward Street, Stepney",07/09/2018 05:27,483,"Albert Gardens, Stepney",,
,,,,,,,,,,
,,,,,,,,,,
Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
53351716,840,3543,01/05/2016 00:14,374,"Waterloo Station 1, Waterloo",01/05/2016 00:00,706,"Snowsfields, London Bridge",,
53351717,840,11229,01/05/2016 00:14,374,"Waterloo Station 1, Waterloo",01/05/2016 00:00,706,"Snowsfields, London Bridge",,
53351715,420,13993,01/05/2016 00:07,4,"St. Chad's Street, King's Cross",01/05/2016 00:00,84,"Breams Buildings, Holborn",,
53351718,840,5393,01/05/2016 00:15,322,"Palissy Street, Shoreditch",01/05/2016 00:01,14,"Belgrove Street , King's Cross",,
53351721,900,5169,01/05/2016 00:16,477,"Spindrift Avenue, Millwall",01/05/2016 00:01,570,"Upper Bank Street, Canary Wharf",,
53351719,1140,641,01/05/2016 00:20,262,"LSBU (Borough Road), Elephant & Castle",01/05/2016 00:01,288,"Elizabeth Bridge, Victoria",,
53351723,1800,10454,01/05/2016 00:32,478,"Stepney Green Station, Stepney",01/05/2016 00:02,273,"Belvedere Road, South Bank",,
53351725,1080,10756,01/05/2016 00:20,721,"Wendon Street, Old Ford",01/05/2016 00:02,326,"Graham Street, Angel",,
53351724,480,3056,01/05/2016 00:10,433,"Wren Street, Holborn",01/05/2016 00:02,12,"Malet Street, Bloomsbury",,
